model,variable,coef,se,pvalue,nobs,r2
m2,C(ubigeo)[T.21407],-0.12184171146310693,0.0031499067911694655,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21408],-0.04733229895475055,0.0033080057656785537,1.938990522819563e-46,51862,0.034120678215294964
m2,C(ubigeo)[T.21409],-0.09406253692491642,0.002701167059895951,1.0943052743978028e-265,51862,0.034120678215294964
m2,C(ubigeo)[T.21410],-0.11457346851109122,0.0030890387780105524,4.022645492915982e-301,51862,0.034120678215294964
m2,C(ubigeo)[T.21502],-0.14212005758438012,0.0036967782671586524,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21503],-0.1842528455105232,0.004232672351198337,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21504],-0.08343716551765852,0.0034132788728818936,5.705711617376586e-132,51862,0.034120678215294964
m2,C(ubigeo)[T.21505],-0.16897193440185243,0.00400776721660974,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21506],-0.18064024666930725,0.0037373645840647076,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21507],-0.13476061248190285,0.003283231352402008,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21508],-0.1552846457328061,0.003502441129240681,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21602],-0.12761933175866577,0.003968244558021784,6.37112946725149e-227,51862,0.034120678215294964
m2,C(ubigeo)[T.21603],-0.17115717292309537,0.0044507107185449216,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21604],-0.13691198455411285,0.004217661409707139,3.717428045234802e-231,51862,0.034120678215294964
m2,C(ubigeo)[T.21605],-0.17886051837890815,0.004321684451399113,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21606],-0.1245311049189089,0.003754327482596448,2.91439502819453e-241,51862,0.034120678215294964
m2,C(ubigeo)[T.21702],-0.13675996218366193,0.003130118135547813,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21703],-0.14150988290313385,0.003167311821855126,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21802],-0.019548712186814064,0.003056814264535578,1.604150866773196e-10,51862,0.034120678215294964
m2,C(ubigeo)[T.21902],-0.05675880999371861,0.0021583369972033584,2.0496576511088963e-152,51862,0.034120678215294964
m2,C(ubigeo)[T.21903],-0.1500569298823345,0.003639555236318865,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21904],-0.10864213089968772,0.0023590127952963394,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.21905],-0.07719156882038683,0.002941027438324189,7.843980232597577e-152,51862,0.034120678215294964
m2,C(ubigeo)[T.22001],0.02206933351054371,0.0035402621380788246,4.5521532272695975e-10,51862,0.034120678215294964
m2,C(ubigeo)[T.22002],-0.015565750369150904,0.003682598299386853,2.3699703952393005e-05,51862,0.034120678215294964
m2,C(ubigeo)[T.22003],0.04199166215286496,0.003053404480934237,4.926263837922278e-43,51862,0.034120678215294964
m2,C(ubigeo)[T.22004],-0.11501251735777183,0.0029422191918864393,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.22005],-0.07292755387453471,0.0029419208454890115,1.1753527796658478e-135,51862,0.034120678215294964
m2,C(ubigeo)[T.22006],0.041385356888990234,0.0031668337643043455,4.992350413316131e-39,51862,0.034120678215294964
m2,C(ubigeo)[T.22008],0.11781465992131576,0.003420178473332001,5.005129087841114e-260,51862,0.034120678215294964
m2,C(ubigeo)[T.22009],-0.10428557685367909,0.003805688236583775,2.5569281356687597e-165,51862,0.034120678215294964
m2,C(ubigeo)[T.22010],0.13894707671228926,0.004231605036098107,1.8316136265284828e-236,51862,0.034120678215294964
m2,C(ubigeo)[T.30102],-0.14680506922147335,0.004130355736346224,1.0673245706417028e-276,51862,0.034120678215294964
m2,C(ubigeo)[T.30103],-0.1672472260839052,0.004244526532346441,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.30104],-0.10644303246868445,0.0043482558860494834,2.4437474051459174e-132,51862,0.034120678215294964
m2,C(ubigeo)[T.30105],-0.16751400006946435,0.004025088883391489,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.30106],-0.15537568310464286,0.003573003424663389,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.30107],-0.1606549623869936,0.004506323120363574,2.2730215176148283e-278,51862,0.034120678215294964
m2,C(ubigeo)[T.30108],-0.1427663188365303,0.004344710905923409,8.252935514334708e-237,51862,0.034120678215294964
m2,C(ubigeo)[T.30109],-0.18055549688473274,0.004344450410374655,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.30202],-0.08300639495766175,0.003374719092204678,1.3757744968655614e-133,51862,0.034120678215294964
m2,C(ubigeo)[T.30203],-0.033422325986802566,0.0033681858212082005,3.308441612983403e-23,51862,0.034120678215294964
m2,C(ubigeo)[T.30204],-0.10279427212804469,0.003247561505379322,6.949189781189829e-220,51862,0.034120678215294964
m2,C(ubigeo)[T.30205],-0.11387727085665678,0.0023998804312272016,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.30206],-0.15552724449740582,0.004221225381652351,3.635500750886273e-297,51862,0.034120678215294964
m2,C(ubigeo)[T.30207],-0.10864218048985799,0.0033331962473563304,4.988953410996796e-233,51862,0.034120678215294964
m2,C(ubigeo)[T.30208],-0.11342136039964845,0.0025849723025376786,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.30209],-0.04519854380696666,0.0013748590360690113,4.998606457705576e-237,51862,0.034120678215294964
m2,C(ubigeo)[T.30210],-0.1021414779530295,0.0029914144395593112,1.593014052585543e-255,51862,0.034120678215294964
m2,C(ubigeo)[T.30211],-0.09578364859634113,0.0026936912406727923,6.137832664758198e-277,51862,0.034120678215294964
m2,C(ubigeo)[T.30212],-0.12946627660765392,0.00406921763962321,3.887784284745044e-222,51862,0.034120678215294964
m2,C(ubigeo)[T.30213],-0.13631108262915137,0.0036107307389158685,0.0,51862,0.034120678215294964
