variable,coef,se,pvalue
C(ubigeo)[T.21203],-0.090012183036263,0.002903173521986228,4.650974066334768e-211
C(ubigeo)[T.21204],-0.06085463786964973,0.0017715907795683172,1.3949616646333997e-258
C(ubigeo)[T.21205],-0.07360595158488335,0.001681644830063989,0.0
C(ubigeo)[T.21206],-0.18180855905569063,0.0033376102101543674,0.0
C(ubigeo)[T.21207],-0.09914543274094377,0.0032309633980519377,8.743445923543256e-207
C(ubigeo)[T.21208],-0.15700490880783677,0.0029820237793083773,0.0
C(ubigeo)[T.21209],-0.11251483933068779,0.0028077746922440684,0.0
C(ubigeo)[T.21210],-0.16117773077659134,0.003192737777943659,0.0
C(ubigeo)[T.21302],-0.1970173871046416,0.003603169124910566,0.0
C(ubigeo)[T.21303],-0.19005352084405502,0.0036508013135951034,0.0
C(ubigeo)[T.21304],-0.18018026376719667,0.0026583827614096445,0.0
C(ubigeo)[T.21305],-0.21294131235955716,0.004544061134147044,0.0
C(ubigeo)[T.21306],-0.1703687909021483,0.0030113496852732704,0.0
C(ubigeo)[T.21307],-0.20601199624235708,0.003936676700513178,0.0
C(ubigeo)[T.21308],-0.1845675179329905,0.003537805109964706,0.0
C(ubigeo)[T.21309],-0.23259750284916667,0.004775686384998539,0.0
C(ubigeo)[T.21402],-0.09430854016447669,0.0023930671116410827,0.0
C(ubigeo)[T.21403],-0.13995239329327955,0.0032162168340648207,0.0
C(ubigeo)[T.21404],-0.11589443103173715,0.002540780828519101,0.0
C(ubigeo)[T.21405],-0.13142242518645697,0.0030890108913788628,0.0
C(ubigeo)[T.21406],-0.12820150154666135,0.0025032813372865663,0.0
C(ubigeo)[T.21407],-0.13103724812898085,0.0029495472705335915,0.0
C(ubigeo)[T.21408],-0.05361609515375493,0.003145323752831275,3.7244690176361025e-65
C(ubigeo)[T.21409],-0.10158370210401815,0.0025284128288370626,0.0
C(ubigeo)[T.21410],-0.12159853670084668,0.0029070472282479703,0.0
C(ubigeo)[T.21502],-0.15443389703265045,0.0032336354303801815,0.0
C(ubigeo)[T.21503],-0.1954704380337487,0.004246349991398197,0.0
C(ubigeo)[T.21504],-0.09050684307022763,0.0027527219380501723,4.382506832225969e-237
C(ubigeo)[T.21505],-0.17744125271091946,0.0039110493768804355,0.0
C(ubigeo)[T.21506],-0.19361305010720598,0.003337966447609137,0.0
C(ubigeo)[T.21507],-0.14484985528214092,0.0027856661497979818,0.0
C(ubigeo)[T.21508],-0.1677095262573276,0.0031399762352032,0.0
C(ubigeo)[T.21602],-0.1379702970923194,0.0035193860528610565,0.0
C(ubigeo)[T.21603],-0.18462446443513983,0.004003389013166631,0.0
C(ubigeo)[T.21604],-0.14552613231610131,0.0036741177469737495,0.0
C(ubigeo)[T.21605],-0.18513180144519975,0.003921757625665571,0.0
C(ubigeo)[T.21606],-0.13349375946927633,0.003169066196405295,0.0
C(ubigeo)[T.21702],-0.1469575189153877,0.0025454497388843447,0.0
C(ubigeo)[T.21703],-0.15371602258958506,0.0026412672081145673,0.0
C(ubigeo)[T.21802],-0.02648918870075507,0.002959324231444412,3.5197720868369543e-19
C(ubigeo)[T.21902],-0.06723116544181054,0.0017609940369755213,0.0
C(ubigeo)[T.21903],-0.15870664987415525,0.003757714233915846,0.0
C(ubigeo)[T.21904],-0.1170534104566786,0.001696909876760798,0.0
C(ubigeo)[T.21905],-0.08277350075022313,0.0019822700600884632,0.0
C(ubigeo)[T.22001],0.013893258570035096,0.0030108406823613197,3.942102616794241e-06
C(ubigeo)[T.22002],-0.021157196150172072,0.0031635901032040577,2.2667853639325112e-11
C(ubigeo)[T.22003],0.03786130717155875,0.0027565894582313307,6.279714937436243e-43
C(ubigeo)[T.22004],-0.12142434094734687,0.0028008392087206105,0.0
C(ubigeo)[T.22005],-0.08098279474696136,0.0029104465161747454,2.1700995884090326e-170
C(ubigeo)[T.22006],0.032679555155355415,0.002907573526307601,2.60975002499008e-29
C(ubigeo)[T.22008],0.10923398178733364,0.0030872186129884426,3.1565338267043327e-274
C(ubigeo)[T.22009],-0.11167477955503893,0.003043795450778773,1.0810871353127093e-294
C(ubigeo)[T.22010],0.1304209822212657,0.00396712461315252,4.932393862516549e-237
C(ubigeo)[T.30102],-0.15743813721425431,0.0035987439879842376,0.0
C(ubigeo)[T.30103],-0.17831465440926983,0.003791543314117995,0.0
C(ubigeo)[T.30104],-0.11421567802941231,0.0037645157776102184,3.396936440616574e-202
C(ubigeo)[T.30105],-0.17770835902911428,0.003651399771239615,0.0
C(ubigeo)[T.30106],-0.1664000881425987,0.0030784676471801034,0.0
C(ubigeo)[T.30107],-0.16985394384515398,0.00455544753307835,2.777958192775228e-304
C(ubigeo)[T.30108],-0.15563996210645586,0.0038475994129097495,0.0
C(ubigeo)[T.30109],-0.1912235277139537,0.004145634943075272,0.0
C(ubigeo)[T.30202],-0.0933764979650589,0.002776690853918045,6.387784101005345e-248
C(ubigeo)[T.30203],-0.04250150737510902,0.002901230879192057,1.357619162579114e-48
C(ubigeo)[T.30204],-0.1150686864380697,0.0025922399590639104,0.0
C(ubigeo)[T.30205],-0.12321779591065761,0.002105570984562542,0.0
C(ubigeo)[T.30206],-0.16627302587785292,0.003630534154459424,0.0
C(ubigeo)[T.30207],-0.11813527218783675,0.002676537881363826,0.0
C(ubigeo)[T.30208],-0.1216005424556756,0.0020318367570269216,0.0
C(ubigeo)[T.30209],-0.04685123349318442,0.0010044028007050792,0.0
C(ubigeo)[T.30210],-0.11111820810783725,0.0025313909043052293,0.0
C(ubigeo)[T.30211],-0.10212280247056807,0.0020601034910805852,0.0
C(ubigeo)[T.30212],-0.1411671763899288,0.003380400934987713,0.0
C(ubigeo)[T.30213],-0.1438438520969869,0.002879069403940842,0.0
C(ubigeo)[T.30214],-0.12982211310651282,0.0027736547935126583,0.0
C(ubigeo)[T.30215],-0.12004665090433697,0.0023778473818776248,0.0
